time,uptime,CPU1,CPU2,CPU3,CPU4,CPU5,CPU6,CPU7,CPU8,RAM,SWAP,EMC,GPU,APE,CVNAS,DLA0_CORE,DLA0_FALCON,DLA1_CORE,DLA1_FALCON,NVDEC,NVDEC1,NVENC,NVENC1,NVJPG,PVA0_AXI,PVA0_VPS0,PVA0_VPS1,PVA1_AXI,PVA1_VPS0,PVA1_VPS1,SE,VIC,Fan pwmfan0,Temp AO,Temp AUX,Temp CPU,Temp GPU,Temp Tboard,Temp Tdiode,Temp thermal,Power thermal,Power TOT,jetson_clocks,nvp model
16:39.8,"35 days, 20:00:33.850000",1,1,1,1,1,1,1,1,0.030766037,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,30.19607843,32,33,33.5,33.5,33,35.75,33.1,464,5705,OFF,MODE_30W_ALL
16:39.8,"35 days, 20:00:33.850000",1,1,1,1,1,1,1,1,0.030766037,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,30.19607843,32,33,33.5,33.5,33,35.75,33.1,464,5705,OFF,MODE_30W_ALL
16:40.7,"35 days, 20:00:34.850000",36,29,8,5,6,16,20,17,0.030745127,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,30.19607843,31.5,33,34,32,33,35.5,32.8,464,6173,OFF,MODE_30W_ALL
16:41.7,"35 days, 20:00:35.850000",7,5,5,0,3,4,4,1,0.03075533,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,30.19607843,32,33,33.5,33.5,33,35.5,33.3,464,5785,OFF,MODE_30W_ALL
16:42.7,"35 days, 20:00:36.850000",4,9,0,3,0,2,6,5,0.030732027,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,30.19607843,31.5,33,33.5,33.5,33,35.5,33.3,464,5437,OFF,MODE_30W_ALL
16:43.7,"35 days, 20:00:37.850000",13,0,0,3,4,2,4,4,0.030755834,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,32.5,34,34,33,35.5,33.3,464,5437,OFF,MODE_30W_ALL
16:44.7,"35 days, 20:00:38.850000",9,0,2,3,7,0,2,5,0.030747898,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,31.5,32.5,33.5,33.5,33,35.5,33.3,464,5397,OFF,MODE_30W_ALL
16:45.7,"35 days, 20:00:39.850000",8,0,1,6,2,8,1,0,0.030763518,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,32.5,33.5,33.5,33,35.5,33.3,464,5397,OFF,MODE_30W_ALL
16:46.8,"35 days, 20:00:40.850000",3,0,4,6,2,0,2,7,0.030779893,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,32.5,33.5,33.5,33,35.5,33.1,464,5437,OFF,MODE_30W_ALL
16:47.8,"35 days, 20:00:41.850000",2,2,8,5,3,1,1,7,0.030779893,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,31.5,32.5,33.5,33.5,33,35.25,33.1,464,5437,OFF,MODE_30W_ALL
16:48.8,"35 days, 20:00:42.850000",3,0,1,10,4,1,2,4,0.030779641,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,32.5,33,33.5,33,35.5,33.3,464,5397,OFF,MODE_30W_ALL
16:49.8,"35 days, 20:00:43.850000",3,0,1,12,2,3,3,6,0.030764022,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.5,33.1,464,5592,OFF,MODE_30W_ALL
16:50.7,"35 days, 20:00:44.850000",10,1,2,5,3,4,3,5,0.030779767,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,31.5,32.5,33.5,33.5,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
16:51.7,"35 days, 20:00:45.850000",9,0,0,1,7,0,2,6,0.030756464,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.5,33.3,464,5437,OFF,MODE_30W_ALL
16:52.8,"35 days, 20:00:46.860000",9,1,0,2,6,2,6,2,0.030756464,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,31.5,32.5,33.5,33.5,33,35.5,33.3,464,5397,OFF,MODE_30W_ALL
16:53.8,"35 days, 20:00:47.860000",7,1,4,2,0,3,6,1,0.030780271,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.5,33.3,464,5437,OFF,MODE_30W_ALL
16:54.8,"35 days, 20:00:48.860000",5,2,9,2,4,0,3,3,0.0307644,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,31.5,33,33.5,33.5,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
16:55.8,"35 days, 20:00:49.860000",1,0,9,1,2,2,5,5,0.030780271,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,32.5,33.5,33.5,33,35.25,33.1,464,5437,OFF,MODE_30W_ALL
16:56.8,"35 days, 20:00:50.860000",2,0,10,0,7,4,3,1,0.030788207,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,32.5,33.5,33.5,33,35.75,33.1,464,5397,OFF,MODE_30W_ALL
16:57.8,"35 days, 20:00:51.860000",6,0,4,0,7,1,4,5,0.030809495,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.5,33.3,464,5397,OFF,MODE_30W_ALL
16:58.8,"35 days, 20:00:52.860000",3,3,5,1,9,3,2,2,0.030740592,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.75,33.3,464,5397,OFF,MODE_30W_ALL
16:59.8,"35 days, 20:00:53.860000",4,0,4,3,3,7,1,3,0.030779263,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,31.5,33,33.5,33.5,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
17:00.8,"35 days, 20:00:54.860000",7,0,1,5,6,3,2,2,0.030709353,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,32.5,33.5,33.5,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
17:01.8,"35 days, 20:00:55.860000",4,1,1,5,5,7,4,4,0.030749032,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,34,33.5,33,35.75,33.1,464,5437,OFF,MODE_30W_ALL
17:02.8,"35 days, 20:00:56.860000",2,3,2,6,9,4,3,2,0.030717289,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,32.5,33.5,33.5,33,35.5,33.1,464,5437,OFF,MODE_30W_ALL
17:03.8,"35 days, 20:00:57.860000",4,2,1,3,7,3,3,4,0.030741096,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
17:04.8,"35 days, 20:00:58.860000",2,1,3,3,3,7,3,9,0.030717289,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
17:05.8,"35 days, 20:00:59.860000",2,3,1,5,7,4,3,2,0.030725225,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,34,34,33,35.75,33.3,464,5592,OFF,MODE_30W_ALL
17:06.8,"35 days, 20:01:00.860000",5,1,3,4,2,9,0,4,0.030724973,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
17:07.8,"35 days, 20:01:01.860000",2,0,5,3,0,7,2,9,0.0307644,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
17:08.8,"35 days, 20:01:02.860000",6,2,0,4,0,8,0,9,0.030740592,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,34,34,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
17:09.8,"35 days, 20:01:03.860000",2,0,1,5,6,5,4,8,0.030780523,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,34,34,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
17:10.8,"35 days, 20:01:04.860000",0,3,0,5,5,0,11,5,0.030788459,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.75,33.6,464,5592,OFF,MODE_30W_ALL
17:11.8,"35 days, 20:01:05.860000",2,4,2,7,6,0,9,3,0.030804078,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,34,34,33,35.75,33.6,464,5437,OFF,MODE_30W_ALL
17:12.8,"35 days, 20:01:06.860000",1,2,3,5,4,0,0,9,0.030780271,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.75,33.6,464,5437,OFF,MODE_30W_ALL
17:13.8,"35 days, 20:01:07.870000",2,1,2,5,6,2,0,6,0.030772335,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.75,33.6,464,5437,OFF,MODE_30W_ALL
17:14.8,"35 days, 20:01:08.870000",1,2,9,2,2,5,5,3,0.030772335,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,33.5,33.5,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
17:15.8,"35 days, 20:01:09.870000",0,3,9,0,4,0,5,3,0.030748528,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,34,34,33,35.75,33.6,464,5397,OFF,MODE_30W_ALL
17:16.8,"35 days, 20:01:10.870000",0,1,8,0,6,2,3,6,0.030748276,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,34,34,33,35.75,33.6,464,5437,OFF,MODE_30W_ALL
17:17.8,"35 days, 20:01:11.870000",2,2,9,0,4,5,2,3,0.030736813,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,34,34,33,35.75,33.6,464,5437,OFF,MODE_30W_ALL
17:18.8,"35 days, 20:01:12.870000",1,1,11,0,3,4,6,2,0.030724469,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,34,34,33,35.75,33.3,464,5437,OFF,MODE_30W_ALL
17:19.8,"35 days, 20:01:13.870000",4,3,7,0,2,2,4,7,0.030716533,0,0,0,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,OFF,0,32,33,34,34,33,36,33.3,464,5437,OFF,MODE_30W_ALL
